ID,Area,Number,Name,ECTS,Prereq,F/R,Parent,Term,Language,Anmeldepflicht,Type
MMM,,,Master in Mangement,0,,,,,,,mmm
MAN,MAN,,Management,182,MMM,,MMM,,,,area
CC,CC,,Key Qualifications,22,MMM,,MMM,,,,area
ACC,ACC,,Accounting,102,MMM,,MMM,,,,area
BE,BE,,Business Economics,12,MMM,,MMM,,,,area
OPM,OPM,,Operations Management,134,MMM,,MMM,,,,area
FIN,FIN,,Finance,156,MMM,,MMM,,,,area
TAX,TAX,,Taxation,72,MMM,,MMM,,,,area
MKT,MKT,,Marketing,94,MMM,,MMM,,,,area
IS,IS,,Information Systems,118,MMM,,MMM,,,,area
OPM Seminar,OPM,,,,OPM,,OPM,,,,seminar
FIN Seminar,FIN,,,,FIN,,FIN,,,,seminar
TAX Seminar,TAX,,,,TAX,,TAX,,,,seminar
MKT Seminar,MKT,,,,MKT,,MKT,,,,seminar
IS Seminar,IS,,,,IS,,IS,,,,seminar
MAN Seminar,MAN,,,,MAN,,MAN,,,,seminar
ACC Seminar,ACC,,,,ACC,,ACC,,,,seminar
CC 501,CC,501,Decision Analysis,6,,,CC,fs,e,,cource
CC 502,CC,502,Applied Econometrics,6,,,CC,f,e,,cource
CC 503,CC,503,Empirische Methoden,6,,,CC,fs,e,,cource
CC 504,CC,504,Corporate Social Responsibility,4,,,CC,fs,e,,cource
BE 510,BE,510,Business Economics I,6,,,BE,f,e,,cource
BE 511,BE,511,Business Economics II,6,BE 510,r,BE 510,s,e,,cource
ACC 511,ACC,511,Konzernrechnungslegung,6,,,ACC,f,e,,cource
ACC 512,ACC,512,Jahresabschluss,6,,,ACC,s,d,,cource
ACC 513,ACC,513,Konzernrechnungslegungspraxis,4,,,ACC,fs,d,,cource
ACC 531,ACC,531,Unternehmensbewertung,6,,,ACC,f,d,,cource
ACC 532,ACC,532,Financial Statement Analysis & Equity Valuation,6,,,ACC,s,e,,cource
TAX 510,TAX,510,Grundlagen der Besteuerung,6,,,TAX,f,d,,cource
TAX 520,TAX,520,Besteuerung der Unternehmen,6,TAX 510,r,TAX 510,f,d,n,cource
TAX 521,TAX,521,Fallstudien zur Besteuerung der Unternehmen,4,,,TAX,s,d,n,cource
TAX 530,TAX,530,Taxation of Businesses and Individuals,6,,,TAX,f,e,n,cource
ACC 550,ACC,550,International Course – Accounting and Taxation,6,TAX ACC,,TAX ACC,fs,e,,cource
ACC 620,ACC,620,Accounting for Financial Instruments & Financial Institutions,6,,,ACC,s,e,n,cource
ACC 624,ACC,624,Unternehmensbewertungspraxis,8,ACC 531 ACC 532 FIN 540,f,ACC 531 ACC 532 FIN 540,f,d,j,cource
ACC 630,ACC,630,Integriertes Controlling 1 – Planung und Budgetierung,4,,,ACC,f,d,n,cource
ACC 631,ACC,631,Integriertes Controlling 2 – Reporting und Performancesteuerung,4,,,ACC,s,d,n,cource
ACC 635,ACC,635,Wertorientiertes Risiko-Controlling und - Management im Bankbereich,4,,,ACC,f,d,n,cource
ACC 636,ACC,636,Fallstudien für das wertorientierte RisikoControlling und -Management im Bankbereich,4,ACC 635,f,ACC 635,s,d,j,cource
TAX 610,TAX,610,Internationale Unternehmensbesteuerung,6,TAX 510 TAX 520 TAX 530,r,TAX 510 TAX 520 TAX 530,s,d,n,cource
TAX 611,TAX,611,Fallstudien zur Internationalen Unternehmensbesteuerung,4,TAX 510 TAX 520 TAX 530,r,TAX 510 TAX 520 TAX 530,f,d,n,cource
TAX 620,TAX,620,Empirical Research in Taxation,6,,,TAX,f,e,n,cource
TAX 630,TAX,630,International Business Taxation,6,TAX 510 TAX 520 TAX 530,r,TAX 510 TAX 520 TAX 530,s,e,n,cource
